contact_name,company_name,country,phone,contact_title,fax,address,city,postal_code,customer_id,region
Maria Anders,Alfreds Futterkiste,Germany,030-0074321,Sales Representative,030-0076545,Obere Str. 57,Berlin,12209,ALFKI,SP
Ana Trujillo,Ana Trujillo Emparedados y helados,Mexico,(5) 555-4729,Owner,(5) 555-3745,Avda. de la Constitución 2222,México D.F.,05021,ANATR,SP
Antonio Moreno,Antonio Moreno Taquería,Mexico,(5) 555-3932,Owner,(02) 201 24 68,Mataderos  2312,México D.F.,05023,ANTON,SP
Thomas Hardy,Around the Horn,UK,(171) 555-7788,Sales Representative,(171) 555-6750,120 Hanover Sq.,London,WA1 1DP,AROUT,SP
Christina Berglund,Berglunds snabbköp,Sweden,0921-12 34 65,Order Administrator,0921-12 34 67,Berguvsvägen  8,Luleå,S-958 22,BERGS,SP
Hanna Moos,Blauer See Delikatessen,Germany,0621-08460,Sales Representative,0621-08924,Forsterstr. 57,Mannheim,68306,BLAUS,SP
Frédérique Citeaux,Blondesddsl père et fils,France,88.60.15.31,Marketing Manager,88.60.15.32,"24, place Kléber",Strasbourg,67000,BLONP,SP
Martín Sommer,Bólido Comidas preparadas,Spain,(91) 555 22 82,Owner,(91) 555 91 99,"C/ Araquil, 67",Madrid,28023,BOLID,SP
Laurence Lebihan,Bon app',France,91.24.45.40,Owner,91.24.45.41,"12, rue des Bouchers",Marseille,13008,BONAP,SP
Elizabeth Lincoln,Bottom-Dollar Markets,Canada,(604) 555-4729,Accounting Manager,(604) 555-3745,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,BOTTM,BC
Victoria Ashworth,B's Beverages,UK,(171) 555-1212,Sales Representative,(02) 201 24 68,Fauntleroy Circus,London,EC2 5NT,BSBEV,SP
Patricio Simpson,Cactus Comidas para llevar,Argentina,(1) 135-5555,Sales Agent,(1) 135-4892,Cerrito 333,Buenos Aires,1010,CACTU,SP
Francisco Chang,Centro comercial Moctezuma,Mexico,(5) 555-3392,Marketing Manager,(5) 555-7293,Sierras de Granada 9993,México D.F.,05022,CENTC,SP
Yang Wang,Chop-suey Chinese,Switzerland,0452-076545,Owner,(02) 201 24 68,Hauptstr. 29,Bern,3012,CHOPS,SP
Pedro Afonso,Comércio Mineiro,Brazil,(11) 555-7647,Sales Associate,(02) 201 24 68,"Av. dos Lusíadas, 23",Sao Paulo,05432-043,COMMI,SP
Elizabeth Brown,Consolidated Holdings,UK,(171) 555-2282,Sales Representative,(171) 555-9199,Berkeley Gardens 12  Brewery,London,WX1 6LT,CONSH,SP
Sven Ottlieb,Drachenblut Delikatessen,Germany,0241-039123,Order Administrator,0241-059428,Walserweg 21,Aachen,52066,DRACD,SP
Janine Labrune,Du monde entier,France,40.67.88.88,Owner,40.67.89.89,"67, rue des Cinquante Otages",Nantes,44000,DUMON,SP
Ann Devon,Eastern Connection,UK,(171) 555-0297,Sales Agent,(171) 555-3373,35 King George,London,WX3 6FW,EASTC,SP
Roland Mendel,Ernst Handel,Austria,7675-3425,Sales Manager,7675-3426,Kirchgasse 6,Graz,8010,ERNSH,SP
Aria Cruz,Familia Arquibaldo,Brazil,(11) 555-9857,Marketing Assistant,(02) 201 24 68,"Rua Orós, 92",Sao Paulo,05442-030,FAMIA,SP
Diego Roel,FISSA Fabrica Inter. Salchichas S.A.,Spain,(91) 555 94 44,Accounting Manager,(91) 555 55 93,"C/ Moralzarzal, 86",Madrid,28034,FISSA,SP
Martine Rancé,Folies gourmandes,France,20.16.10.16,Assistant Sales Agent,20.16.10.17,"184, chaussée de Tournai",Lille,59000,FOLIG,SP
Maria Larsson,Folk och fä HB,Sweden,0695-34 67 21,Owner,(02) 201 24 68,Åkergatan 24,Bräcke,S-844 67,FOLKO,SP
Peter Franken,Frankenversand,Germany,089-0877310,Marketing Manager,089-0877451,Berliner Platz 43,München,80805,FRANK,SP
Carine Schmitt,France restauration,France,40.32.21.21,Marketing Manager,40.32.21.20,"54, rue Royale",Nantes,44000,FRANR,SP
Paolo Accorti,Franchi S.p.A.,Italy,011-4988260,Sales Representative,011-4988261,Via Monte Bianco 34,Torino,10100,FRANS,SP
Lino Rodriguez,Furia Bacalhau e Frutos do Mar,Portugal,(1) 354-2534,Sales Manager,(1) 354-2535,Jardim das rosas n. 32,Lisboa,1675,FURIB,SP
Eduardo Saavedra,Galería del gastrónomo,Spain,(93) 203 4560,Marketing Manager,(93) 203 4561,"Rambla de Cataluña, 23",Barcelona,08022,GALED,SP
José Pedro Freyre,Godos Cocina Típica,Spain,(95) 555 82 82,Sales Manager,(02) 201 24 68,"C/ Romero, 33",Sevilla,41101,GODOS,SP
André Fonseca,Gourmet Lanchonetes,Brazil,(11) 555-9482,Sales Associate,(02) 201 24 68,"Av. Brasil, 442",Campinas,04876-786,GOURL,SP
Howard Snyder,Great Lakes Food Market,USA,(503) 555-7555,Marketing Manager,(02) 201 24 68,2732 Baker Blvd.,Eugene,97403,GREAL,OR
Manuel Pereira,GROSELLA-Restaurante,Venezuela,(2) 283-2951,Owner,(2) 283-3397,5ª Ave. Los Palos Grandes,Caracas,1081,GROSR,DF
Mario Pontes,Hanari Carnes,Brazil,(21) 555-0091,Accounting Manager,(21) 555-8765,"Rua do Paço, 67",Rio de Janeiro,05454-876,HANAR,RJ
Carlos Hernández,HILARION-Abastos,Venezuela,(5) 555-1340,Sales Representative,(5) 555-1948,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,HILAA,Táchira
Yoshi Latimer,Hungry Coyote Import Store,USA,(503) 555-6874,Sales Representative,(503) 555-2376,City Center Plaza 516 Main St.,Elgin,97827,HUNGC,OR
