customer_id,company_name,country,phone,contact_title,contact_name,fax,address,city,postal_code,region
ALFKI,Alfreds Futterkiste,Germany,030-0074321,Sales Representative,Maria Anders,030-0076545,Obere Str. 57,Berlin,12209,SP
ANATR,Ana Trujillo Emparedados y helados,Mexico,(5) 555-4729,Owner,Ana Trujillo,(5) 555-3745,Avda. de la Constitución 2222,México D.F.,05021,SP
ANTON,Antonio Moreno Taquería,Mexico,(5) 555-3932,Owner,Antonio Moreno,(02) 201 24 68,Mataderos  2312,México D.F.,05023,SP
AROUT,Around the Horn,UK,(171) 555-7788,Sales Representative,Thomas Hardy,(171) 555-6750,120 Hanover Sq.,London,WA1 1DP,SP
BERGS,Berglunds snabbköp,Sweden,0921-12 34 65,Order Administrator,Christina Berglund,0921-12 34 67,Berguvsvägen  8,Luleå,S-958 22,SP
BLAUS,Blauer See Delikatessen,Germany,0621-08460,Sales Representative,Hanna Moos,0621-08924,Forsterstr. 57,Mannheim,68306,SP
BLONP,Blondesddsl père et fils,France,88.60.15.31,Marketing Manager,Frédérique Citeaux,88.60.15.32,"24, place Kléber",Strasbourg,67000,SP
BOLID,Bólido Comidas preparadas,Spain,(91) 555 22 82,Owner,Martín Sommer,(91) 555 91 99,"C/ Araquil, 67",Madrid,28023,SP
BONAP,Bon app',France,91.24.45.40,Owner,Laurence Lebihan,91.24.45.41,"12, rue des Bouchers",Marseille,13008,SP
BOTTM,Bottom-Dollar Markets,Canada,(604) 555-4729,Accounting Manager,Elizabeth Lincoln,(604) 555-3745,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,BC
BSBEV,B's Beverages,UK,(171) 555-1212,Sales Representative,Victoria Ashworth,(02) 201 24 68,Fauntleroy Circus,London,EC2 5NT,SP
CACTU,Cactus Comidas para llevar,Argentina,(1) 135-5555,Sales Agent,Patricio Simpson,(1) 135-4892,Cerrito 333,Buenos Aires,1010,SP
CENTC,Centro comercial Moctezuma,Mexico,(5) 555-3392,Marketing Manager,Francisco Chang,(5) 555-7293,Sierras de Granada 9993,México D.F.,05022,SP
CHOPS,Chop-suey Chinese,Switzerland,0452-076545,Owner,Yang Wang,(02) 201 24 68,Hauptstr. 29,Bern,3012,SP
COMMI,Comércio Mineiro,Brazil,(11) 555-7647,Sales Associate,Pedro Afonso,(02) 201 24 68,"Av. dos Lusíadas, 23",Sao Paulo,05432-043,SP
CONSH,Consolidated Holdings,UK,(171) 555-2282,Sales Representative,Elizabeth Brown,(171) 555-9199,Berkeley Gardens 12  Brewery,London,WX1 6LT,SP
DRACD,Drachenblut Delikatessen,Germany,0241-039123,Order Administrator,Sven Ottlieb,0241-059428,Walserweg 21,Aachen,52066,SP
DUMON,Du monde entier,France,40.67.88.88,Owner,Janine Labrune,40.67.89.89,"67, rue des Cinquante Otages",Nantes,44000,SP
EASTC,Eastern Connection,UK,(171) 555-0297,Sales Agent,Ann Devon,(171) 555-3373,35 King George,London,WX3 6FW,SP
ERNSH,Ernst Handel,Austria,7675-3425,Sales Manager,Roland Mendel,7675-3426,Kirchgasse 6,Graz,8010,SP
FAMIA,Familia Arquibaldo,Brazil,(11) 555-9857,Marketing Assistant,Aria Cruz,(02) 201 24 68,"Rua Orós, 92",Sao Paulo,05442-030,SP
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Spain,(91) 555 94 44,Accounting Manager,Diego Roel,(91) 555 55 93,"C/ Moralzarzal, 86",Madrid,28034,SP
FOLIG,Folies gourmandes,France,20.16.10.16,Assistant Sales Agent,Martine Rancé,20.16.10.17,"184, chaussée de Tournai",Lille,59000,SP
FOLKO,Folk och fä HB,Sweden,0695-34 67 21,Owner,Maria Larsson,(02) 201 24 68,Åkergatan 24,Bräcke,S-844 67,SP
FRANK,Frankenversand,Germany,089-0877310,Marketing Manager,Peter Franken,089-0877451,Berliner Platz 43,München,80805,SP
FRANR,France restauration,France,40.32.21.21,Marketing Manager,Carine Schmitt,40.32.21.20,"54, rue Royale",Nantes,44000,SP
