phone,company_name,country,contact_title,contact_name,fax,address,city,postal_code,customer_id,region
030-0074321,Alfreds Futterkiste,Germany,Sales Representative,Maria Anders,030-0076545,Obere Str. 57,Berlin,12209,ALFKI,SP
(5) 555-4729,Ana Trujillo Emparedados y helados,Mexico,Owner,Ana Trujillo,(5) 555-3745,Avda. de la Constitución 2222,México D.F.,05021,ANATR,SP
(5) 555-3932,Antonio Moreno Taquería,Mexico,Owner,Antonio Moreno,(02) 201 24 68,Mataderos  2312,México D.F.,05023,ANTON,SP
(171) 555-7788,Around the Horn,UK,Sales Representative,Thomas Hardy,(171) 555-6750,120 Hanover Sq.,London,WA1 1DP,AROUT,SP
0921-12 34 65,Berglunds snabbköp,Sweden,Order Administrator,Christina Berglund,0921-12 34 67,Berguvsvägen  8,Luleå,S-958 22,BERGS,SP
0621-08460,Blauer See Delikatessen,Germany,Sales Representative,Hanna Moos,0621-08924,Forsterstr. 57,Mannheim,68306,BLAUS,SP
88.60.15.31,Blondesddsl père et fils,France,Marketing Manager,Frédérique Citeaux,88.60.15.32,"24, place Kléber",Strasbourg,67000,BLONP,SP
(91) 555 22 82,Bólido Comidas preparadas,Spain,Owner,Martín Sommer,(91) 555 91 99,"C/ Araquil, 67",Madrid,28023,BOLID,SP
91.24.45.40,Bon app',France,Owner,Laurence Lebihan,91.24.45.41,"12, rue des Bouchers",Marseille,13008,BONAP,SP
(604) 555-4729,Bottom-Dollar Markets,Canada,Accounting Manager,Elizabeth Lincoln,(604) 555-3745,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,BOTTM,BC
(171) 555-1212,B's Beverages,UK,Sales Representative,Victoria Ashworth,(02) 201 24 68,Fauntleroy Circus,London,EC2 5NT,BSBEV,SP
(1) 135-5555,Cactus Comidas para llevar,Argentina,Sales Agent,Patricio Simpson,(1) 135-4892,Cerrito 333,Buenos Aires,1010,CACTU,SP
(5) 555-3392,Centro comercial Moctezuma,Mexico,Marketing Manager,Francisco Chang,(5) 555-7293,Sierras de Granada 9993,México D.F.,05022,CENTC,SP
0452-076545,Chop-suey Chinese,Switzerland,Owner,Yang Wang,(02) 201 24 68,Hauptstr. 29,Bern,3012,CHOPS,SP
(11) 555-7647,Comércio Mineiro,Brazil,Sales Associate,Pedro Afonso,(02) 201 24 68,"Av. dos Lusíadas, 23",Sao Paulo,05432-043,COMMI,SP
(171) 555-2282,Consolidated Holdings,UK,Sales Representative,Elizabeth Brown,(171) 555-9199,Berkeley Gardens 12  Brewery,London,WX1 6LT,CONSH,SP
0241-039123,Drachenblut Delikatessen,Germany,Order Administrator,Sven Ottlieb,0241-059428,Walserweg 21,Aachen,52066,DRACD,SP
40.67.88.88,Du monde entier,France,Owner,Janine Labrune,40.67.89.89,"67, rue des Cinquante Otages",Nantes,44000,DUMON,SP
(171) 555-0297,Eastern Connection,UK,Sales Agent,Ann Devon,(171) 555-3373,35 King George,London,WX3 6FW,EASTC,SP
7675-3425,Ernst Handel,Austria,Sales Manager,Roland Mendel,7675-3426,Kirchgasse 6,Graz,8010,ERNSH,SP
