contact_name,company_name,country,supplier_id,phone,contact_title,fax,address,city,homepage,postal_code,region
Charlotte Cooper,Exotic Liquids,UK,1,(171) 555-2222,Purchasing Manager,(02) 555-4873,49 Gilbert St.,London,#CAJUN.HTM#,EC1 4SD,Québec
Shelley Burke,New Orleans Cajun Delights,USA,2,(100) 555-4822,Order Administrator,(02) 555-4873,P.O. Box 78934,New Orleans,#CAJUN.HTM#,70117,LA
Regina Murphy,Grandma Kelly's Homestead,USA,3,(313) 555-5735,Sales Representative,(313) 555-3349,707 Oxford Rd.,Ann Arbor,#CAJUN.HTM#,48104,MI
Yoshi Nagase,Tokyo Traders,Japan,4,(03) 3555-5011,Marketing Manager,(02) 555-4873,9-8 Sekimai Musashino-shi,Tokyo,#CAJUN.HTM#,100,Québec
Antonio del Valle Saavedra,Cooperativa de Quesos 'Las Cabras',Spain,5,(98) 598 76 54,Export Administrator,(02) 555-4873,Calle del Rosal 4,Oviedo,#CAJUN.HTM#,33007,Asturias
Mayumi Ohno,Mayumi's,Japan,6,(06) 431-7877,Marketing Representative,(02) 555-4873,92 Setsuko Chuo-ku,Osaka,Mayumi's (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#,545,Québec
Ian Devling,"Pavlova, Ltd.",Australia,7,(03) 444-2343,Marketing Manager,(03) 444-6588,74 Rose St. Moonie Ponds,Melbourne,#CAJUN.HTM#,3058,Victoria
Peter Wilson,"Specialty Biscuits, Ltd.",UK,8,(161) 555-4448,Sales Representative,(02) 555-4873,29 King's Way,Manchester,#CAJUN.HTM#,M14 GSD,Québec
Lars Peterson,PB Knäckebröd AB,Sweden,9,031-987 65 43,Sales Agent,031-987 65 91,Kaloadagatan 13,Göteborg,#CAJUN.HTM#,S-345 67,Québec
Carlos Diaz,Refrescos Americanas LTDA,Brazil,10,(11) 555 4640,Marketing Manager,(02) 555-4873,Av. das Americanas 12.890,Sao Paulo,#CAJUN.HTM#,5442,Québec
Petra Winkler,Heli Süßwaren GmbH & Co. KG,Germany,11,(010) 9984510,Sales Manager,(02) 555-4873,Tiergartenstraße 5,Berlin,#CAJUN.HTM#,10785,Québec
Martin Bein,Plutzer Lebensmittelgroßmärkte AG,Germany,12,(069) 992755,International Marketing Mgr.,(02) 555-4873,Bogenallee 51,Frankfurt,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#,60439,Québec
Sven Petersen,Nord-Ost-Fisch Handelsgesellschaft mbH,Germany,13,(04721) 8713,Coordinator Foreign Markets,(04721) 8714,Frahmredder 112a,Cuxhaven,#CAJUN.HTM#,27478,Québec
Elio Rossi,Formaggi Fortini s.r.l.,Italy,14,(0544) 60323,Sales Representative,(0544) 60603,"Viale Dante, 75",Ravenna,#FORMAGGI.HTM#,48100,Québec
Beate Vileid,Norske Meierier,Norway,15,(0)2-953010,Marketing Manager,(02) 555-4873,Hatlevegen 5,Sandvika,#CAJUN.HTM#,1320,Québec
Cheryl Saylor,Bigfoot Breweries,USA,16,(503) 555-9931,Regional Account Rep.,(02) 555-4873,3400 - 8th Avenue Suite 210,Bend,#CAJUN.HTM#,97101,OR
Michael Björn,Svensk Sjöföda AB,Sweden,17,08-123 45 67,Sales Representative,(02) 555-4873,Brovallavägen 231,Stockholm,#CAJUN.HTM#,S-123 45,Québec
Guylène Nodier,Aux joyeux ecclésiastiques,France,18,(1) 03.83.00.68,Sales Manager,(1) 03.83.00.62,"203, Rue des Francs-Bourgeois",Paris,#CAJUN.HTM#,75004,Québec
Robb Merchant,New England Seafood Cannery,USA,19,(617) 555-3267,Wholesale Account Agent,(617) 555-3389,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,#CAJUN.HTM#,02134,MA
Chandra Leka,Leka Trading,Singapore,20,555-8787,Owner,(02) 555-4873,"471 Serangoon Loop, Suite #402",Singapore,#CAJUN.HTM#,0512,Québec
Niels Petersen,Lyngbysild,Denmark,21,43844108,Sales Manager,43844115,Lyngbysild Fiskebakken 10,Lyngby,#CAJUN.HTM#,2800,Québec
Dirk Luchte,Zaanse Snoepfabriek,Netherlands,22,(12345) 1212,Accounting Manager,(12345) 1210,Verkoop Rijnweg 22,Zaandam,#CAJUN.HTM#,9999 ZZ,Québec
Anne Heikkonen,Karkki Oy,Finland,23,(953) 10956,Product Manager,(02) 555-4873,Valtakatu 12,Lappeenranta,#CAJUN.HTM#,53120,Québec
Wendy Mackenzie,"G'day, Mate",Australia,24,(02) 555-5914,Sales Representative,(02) 555-4873,170 Prince Edward Parade Hunter's Hill,Sydney,G'day Mate (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#,2042,NSW
Jean-Guy Lauzon,Ma Maison,Canada,25,(514) 555-9022,Marketing Manager,(02) 555-4873,2960 Rue St. Laurent,Montréal,#CAJUN.HTM#,H1J 1C3,Québec
Giovanni Giudici,Pasta Buttini s.r.l.,Italy,26,(089) 6547665,Order Administrator,(089) 6547667,"Via dei Gelsomini, 153",Salerno,#CAJUN.HTM#,84100,Québec
Marie Delamare,Escargots Nouveaux,France,27,85.57.00.07,Sales Manager,(02) 555-4873,"22, rue H. Voiron",Montceau,#CAJUN.HTM#,71300,Québec
