order_id,order_date,customer_id,customer_name,customer_email,customer_city,product_id,product_name,product_category,product_price,quantity,total_amount,payment_method
1,2024-01-01,101,Alice Johnson,alice@example.com,New York,201,Laptop,Electronics,999.99,1.0,999.99,Credit Card
2,2024-01-02,102,Bob Smith,bob@example.com,Los Angeles,202,Mouse,Electronics,29.99,2.0,59.98,PayPal
3,2024-01-03,101,Alice Johnson,,New York,203,Keyboard,Electronics,79.99,1.0,79.99,Credit Card
4,2024-01-04,103,Charlie Brown,charlie@example.com,Chicago,201,Laptop,Electronics,999.99,1.0,999.99,Debit Card
5,2024-01-05,102,Bob Smith,bob@example.com,Los Angeles,202,Mouse,Electronics,29.99,3.0,89.97,PayPal
6,2024-01-06,104,David Lee,david@example.com,Houston,204,Monitor,Electronics,299.99,,299.99,Credit Card
7,2024-01-07,101,Alice Johnson,alice@example.com,New York,203,Keyboard,Electronics,79.99,2.0,159.98,
8,2024-01-08,103,Charlie Brown,charlie@example.com,Chicago,205,Headphones,Electronics,149.99,1.0,149.99,PayPal
9,2024-01-09,105,Eve Wilson,eve@example.com,Phoenix,201,Laptop,Electronics,999.99,1.0,999.99,Credit Card
10,2024-01-10,104,David Lee,david@example.com,Houston,204,Monitor,Electronics,299.99,2.0,599.98,Debit Card
